tipo,nf, valor_total,tributo_federal,tributo_estadual
padaria,20220826_Barbotti,3.99,0.54,0.53
restaurante,20220813_Madero,325.71,0.0,0.0
padaria,20220801_Barbotti,18.28,2.46,2.44
